date,start_time,end_time,event_title,recurring,category,attendees,leader_attending,status
2026-01-05,15:10,15:55,Conflicting Commitment,No,team,Regional VP;Sales Rep,yes,confirmed
2026-01-05,11:25,12:25,Conflicting Commitment,No,leadership,Regional VP;CRO,yes,confirmed
2026-01-05,08:00,09:00,Customer / Account Review,No,customer,Customer;Sales Rep,yes,confirmed
2026-01-05,09:00,09:30,Customer / Account Review,No,customer,Customer;Sales Rep,yes,confirmed
2026-01-05,09:40,10:10,Internal Working Session,No,internal,Account Team;Legal;CRO,yes,confirmed
2026-01-05,10:10,11:10,Learning Block,No,learning,,yes,confirmed
2026-01-05,11:25,11:55,Leadership Sync,No,leadership,Product VP,yes,confirmed
2026-01-05,11:55,12:55,Leadership Sync,No,leadership,CRO,yes,confirmed
2026-01-05,13:10,13:40,Forecast Review,No,forecast,East Sales Director;West Sales Director;Regional VP,yes,confirmed
2026-01-05,13:40,14:25,Leadership Sync,No,leadership,Marketing VP;Legal,yes,declined
2026-01-05,14:40,15:40,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-05,15:55,16:40,Learning Block,No,learning,,yes,confirmed
2026-01-06,12:00,13:00,Conflicting Commitment,No,leadership,CRO;Revenue Ops,yes,tentative
2026-01-06,08:00,09:00,Internal Working Session,No,internal,Regional VP;CFO,yes,confirmed
2026-01-06,09:30,10:00,Leadership Sync,No,leadership,CFO;Legal,yes,confirmed
2026-01-06,10:00,11:00,Pipeline Review,No,pipeline,Enablement Lead;Revenue Ops,yes,confirmed
2026-01-06,11:30,12:30,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-06,13:00,13:45,Team Coaching,No,team,Sales Ops,yes,confirmed
2026-01-06,13:45,14:45,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-06,15:00,16:00,Leadership Sync,No,leadership,CFO,yes,cancelled
2026-01-07,09:30,10:15,Conflicting Commitment,No,customer,East Sales Director;CRO,yes,confirmed
2026-01-07,08:00,08:30,Pipeline Review,No,pipeline,East Sales Director,yes,confirmed
2026-01-07,09:00,09:45,Learning Block,No,learning,,yes,confirmed
2026-01-07,09:45,10:15,Strategy & Planning,No,strategy,,yes,confirmed
2026-01-07,10:15,11:15,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-07,11:25,11:55,Pipeline Review,No,pipeline,Regional VP;East Sales Director;West Sales Director,yes,confirmed
2026-01-07,11:55,12:25,Forecast Review,No,forecast,East Sales Director,yes,confirmed
2026-01-07,12:40,13:10,Pipeline Review,No,pipeline,Account Team;Regional VP,yes,confirmed
2026-01-07,13:10,13:55,Team Coaching,No,team,Account Team;Revenue Ops,yes,confirmed
2026-01-07,14:10,14:40,Customer / Account Review,No,customer,Customer;West Sales Director;Account Team,yes,confirmed
2026-01-08,13:30,14:00,Conflicting Commitment,No,customer,Finance;Product VP,yes,confirmed
2026-01-08,14:45,15:30,Conflicting Commitment,No,team,Regional VP;CFO,yes,tentative
2026-01-08,08:00,09:00,Customer / Account Review,No,customer,Customer,yes,confirmed
2026-01-08,09:00,10:00,Learning Block,No,learning,,yes,confirmed
2026-01-08,10:00,10:30,Customer / Account Review,No,customer,Customer;Sales Ops,no,confirmed
2026-01-08,10:30,11:30,Forecast Review,No,forecast,West Sales Director;Sales Rep,yes,confirmed
2026-01-08,11:30,12:15,Forecast Review,No,forecast,Account Team,yes,confirmed
2026-01-08,12:30,13:15,Team Coaching,No,team,Enablement Lead;East Sales Director;Account Team,yes,confirmed
2026-01-08,13:15,14:15,Leadership Sync,No,leadership,Legal,yes,confirmed
2026-01-08,14:45,15:30,Forecast Review,No,forecast,Account Team;Sales Ops,yes,confirmed
2026-01-09,13:00,13:30,Conflicting Commitment,No,leadership,Sales Ops;East Sales Director,yes,confirmed
2026-01-09,15:10,15:40,Conflicting Commitment,No,leadership,Legal;CRO,yes,confirmed
2026-01-09,16:55,17:30,Conflicting Commitment,No,customer,Account Team;Product VP,yes,confirmed
2026-01-09,08:00,09:00,Internal Working Session,No,internal,Enablement Lead;Marketing VP,yes,confirmed
2026-01-09,09:30,10:15,Strategy & Planning,No,strategy,,yes,confirmed
