date,start_time,end_time,event_title,recurring,category,attendees,leader_attending,status
2026-09-21,08:00,08:45,Weekly Planning & Priorities,Yes,Customer,Sales directors;Revenue ops,yes,confirmed
2026-09-21,08:15,09:00,Conflicting customer escalation,No,Customer,Customer;Account team,yes,confirmed
2026-09-21,08:00,08:45,Team pipeline huddle (Maya absent),No,Pipeline,Sales directors;Account team,no,confirmed
2026-09-21,08:00,08:45,Declined customer call,No,Customer,Customer;Maya,yes,declined
2026-09-21,08:00,08:45,Tentative leadership discussion,No,Leadership,CRO;Maya,yes,tentative
2026-09-21,09:00,10:00,Sales Leadership Team,Yes,Leadership,CRO;Finance,yes,confirmed
2026-09-21,10:00,11:00,1:1 — East Region VP,Yes,Pipeline,Account team;Customer,yes,confirmed
2026-09-21,11:00,12:00,Pipeline Review — Enterprise,Yes,Internal,Marketing;Enablement,yes,confirmed
2026-09-21,12:00,12:30,Lunch,Yes,1:1,Regional VP,yes,confirmed
2026-09-21,12:30,13:30,Customer / Deal Strategy,No,Strategy,,yes,confirmed
2026-09-21,14:00,15:00,1:1 — West Region VP,Yes,Customer,Sales directors;Revenue ops,yes,confirmed
2026-09-21,15:00,16:00,Revenue Operations Sync,Yes,Leadership,CRO;Finance,yes,confirmed
2026-09-21,16:15,17:00,Cross-Functional Follow-up,No,Pipeline,Account team;Customer,yes,confirmed
2026-09-22,08:00,09:00,Forecast Prep,Yes,Internal,Marketing;Enablement,yes,confirmed
2026-09-22,09:00,10:00,Executive Revenue Meeting,Yes,1:1,Regional VP,yes,confirmed
2026-09-22,10:00,11:00,1:1 — Central Region VP,Yes,Strategy,,yes,confirmed
2026-09-22,10:15,11:00,Conflicting customer escalation,No,Customer,Customer;Account team,yes,confirmed
2026-09-22,11:00,12:00,Customer Call — Strategic Account,No,Customer,Sales directors;Revenue ops,yes,confirmed
2026-09-22,12:00,13:00,Pipeline Review — Commercial,Yes,Leadership,CRO;Finance,yes,confirmed
2026-09-22,12:00,13:00,Team pipeline huddle (Maya absent),No,Pipeline,Sales directors;Account team,no,confirmed
2026-09-22,13:00,14:00,Deal Desk,Yes,Pipeline,Account team;Customer,yes,confirmed
2026-09-22,14:30,15:30,1:1 — Sales Enablement Lead,Yes,Internal,Marketing;Enablement,yes,confirmed
2026-09-22,16:00,17:00,Product + Sales Sync,Yes,1:1,Regional VP,yes,confirmed
