date,start_time,end_time,event_title,recurring
2026-09-21,08:00,08:45,Weekly Planning & Priorities,Yes
2026-09-21,09:00,10:00,Sales Leadership Team,Yes
2026-09-21,10:00,11:00,1:1 — East Region VP,Yes
2026-09-21,11:00,12:00,Pipeline Review — Enterprise,Yes
2026-09-21,12:00,12:30,Lunch,Yes
2026-09-21,12:30,13:30,Customer / Deal Strategy,No
2026-09-21,14:00,15:00,1:1 — West Region VP,Yes
2026-09-21,15:00,16:00,Revenue Operations Sync,Yes
2026-09-21,16:15,17:00,Cross-Functional Follow-up,No
2026-09-22,08:00,09:00,Forecast Prep,Yes
2026-09-22,09:00,10:00,Executive Revenue Meeting,Yes
2026-09-22,10:00,11:00,1:1 — Central Region VP,Yes
2026-09-22,11:00,12:00,Customer Call — Strategic Account,No
2026-09-22,12:00,13:00,Pipeline Review — Commercial,Yes
2026-09-22,13:00,14:00,Deal Desk,Yes
2026-09-22,14:30,15:30,1:1 — Sales Enablement Lead,Yes
2026-09-22,16:00,17:00,Product + Sales Sync,Yes
2026-09-23,08:30,09:15,Territory / Coverage Review,No
2026-09-23,09:30,10:30,1:1 — Strategic Accounts VP,Yes
2026-09-23,10:30,11:30,Customer Escalation / Deal Support,No
2026-09-23,11:30,12:30,Marketing + Sales Pipeline,Yes
2026-09-23,13:00,14:00,Hiring / Talent Review,No
2026-09-23,14:00,15:00,1:1 — Channel Sales VP,Yes
2026-09-23,15:15,16:00,Sales Ops Working Session,No
2026-09-24,08:00,09:00,Regional Business Review,No
2026-09-24,09:00,10:00,1:1 — SMB Sales VP,Yes
2026-09-24,10:00,11:00,Finance + Sales Forecast,Yes
2026-09-24,11:00,12:00,Customer Call — Renewal / Expansion,No
2026-09-24,12:30,13:30,Sales Enablement,Yes
2026-09-24,13:30,14:30,Cross-Functional Operating Review,Yes
2026-09-24,15:00,16:00,Deal Coaching,No
2026-09-24,16:00,17:00,Internal Project Meeting,No
2026-09-25,08:00,08:45,Weekly Forecast Close,Yes
2026-09-25,09:00,10:30,Strategy & Planning,Yes
2026-09-25,11:00,12:00,1:1 — Chief Revenue Officer,Yes
2026-09-25,13:00,14:00,Sales Leadership Follow-up,Yes
2026-09-25,14:30,15:30,Customer / Executive Sponsor Call,No
2026-09-25,16:00,16:30,Weekly Wrap-Up,Yes
2026-09-28,08:00,08:45,Weekly Planning & Priorities,Yes
2026-09-28,09:00,10:00,Sales Leadership Team,Yes
2026-09-28,10:00,11:00,1:1 — East Region VP,Yes
2026-09-28,11:00,12:00,Pipeline Review — Enterprise,Yes
2026-09-28,12:00,12:30,Lunch,No
2026-09-28,12:30,13:30,Customer / Deal Strategy,No
2026-09-28,14:00,15:00,1:1 — West Region VP,Yes
2026-09-28,15:00,16:00,Revenue Operations Sync,Yes
2026-09-28,16:15,17:00,Cross-Functional Follow-up,No
2026-09-29,08:00,09:00,Forecast Prep,Yes
2026-09-29,09:00,10:00,Executive Revenue Meeting,Yes
2026-09-29,10:00,11:00,1:1 — Central Region VP,Yes
